键名,中文（改这一列）,English（改这一列）,占位符（别改）,分组,用在哪一页,说明
ok,好,OK,,Common,首页 / 故事页 · 换封面,
cancel,取消,Cancel,,Common,底部标签栏（计划 / 拍摄） / 设置页「我」 / 输邀请码加入房间 等 11 处,
done,完成,Done,,Common,设置页「我」 / 回看页 · 调色面板 / 草稿箱 等 4 处,
save,保存,Save,,Common,自己建题目模板 / 故事页 · 顶部,
apply,应用,Apply,,Common,成片页,
delete,删除,Delete,,Common,回看页 · 表情和留言 / 自己写题目（AI 写瞬间）,
paste,粘贴,Paste,,Common,输邀请码加入房间,
settings,设置,Settings,,Common,首页,
language,语言,Language,,Common,设置页「我」,
systemLanguage,跟随系统,System,,Common,间接引用（拼在别的文案里）,
languageFootnote,“跟随系统”会使用设备语言。模板、拍摄提示和菜单会立即切换。,"“System” follows your device language. Templates, prompts, and menus switch instantly.",,Common,设置页「我」,
notifications,通知,Notifications,,Common,设置页「我」,
eveningReminder,晚间拍摄提醒,Evening capture reminder,,Common,设置页「我」,
eveningReminderFooter,每天最多一条。当天已经拍完就不会提醒。,At most one each day. Completed moments are never reminded.,,Common,设置页「我」,
reminderTime,提醒时间,Reminder time,,Common,设置页「我」 / 第一次开通知的说明页,
friendActivity,好友动态,Friend activity,,Common,设置页「我」,
friendActivityFooter,好友上传片段、评论或回应时通知你。相近动态会合并。,"Get notified for friends’ clips, comments, and reactions. Nearby activity is bundled.",,Common,设置页「我」,
showFriendNames,在通知中显示好友名字,Show friend names in notifications,,Common,设置页「我」,
sharedRooms,共享挑战,Shared challenges,,Common,设置页「我」 / 设置 · 按房间管通知,
allRoomsOn,都开着,All on,,Common,设置 · 按房间管通知,"Sits under the friend-activity switch as a summary of the room list one level down, so you can tell at a glance whether anything is muted."
roomsMuted,静音了 \(count) 个,\(count) muted,YES,Common,设置 · 按房间管通知,
sharedRoomsFooter,关掉某个房间，就不再收到那边的动态，其他房间照常。,Turn a room off and it stops writing to you. The others carry on.,,Common,设置 · 按房间管通知,
notificationPermissionDenied,系统通知已关闭。请到 iPhone 设置中允许 1Day 通知。,Notifications are off in iPhone Settings. Allow notifications for 1Day to use this.,,Common,设置页「我」,
openSettings,打开系统设置,Open Settings,,Common,设置页「我」 / 拍摄页,
notificationPrimerTitle,留住今天的瞬间？,Keep today’s moment?,,Common,第一次开通知的说明页,
notificationPrimerBody,每天最多一次，在你选择的时间提醒你。拍完后不会再提醒。,"Get at most one reminder at your chosen time. Once you record, it stays quiet.",,Common,第一次开通知的说明页,
notificationPrimerFootnote,你可以随时在“设置”中关闭或改时间。,You can turn this off or change the time in Settings anytime.,,Common,第一次开通知的说明页,
enableEveningReminder,开启晚间提醒,Enable evening reminder,,Common,第一次开通知的说明页,
recordNow,现在拍摄,Record now,,Common,NotificationCoordinator,
remindInOneHour,1 小时后提醒,Remind me in 1 hour,,Common,NotificationCoordinator,
eveningOneDayReminder,今天还差 \(remaining) 个瞬间，留一个给此刻吧。,"\(remaining) moment\(remaining == 1 ? """" : ""s"") left today. Save one for now.",YES,Common,晚间提醒的手机通知,英文里有单复数判断（1 段 / 2 段），所以这一栏锁住了 —— 想改英文跟我说，我在代码里改。
roomClipActivity,\($0) 刚上传了第 \(day) 天的片段。,\($0) just added their Day \(day) clip.,YES,Common,好友动态的手机通知,
roomCommentActivity,\($0) 评论了你们的片段。,\($0) commented on your shared film.,YES,Common,好友动态的手机通知,
roomReactionActivity,\($0) 回应了你们的片段。,\($0) reacted to your shared film.,YES,Common,好友动态的手机通知,
dayN,第 \(day) 天,Day \(day),YES,Models,故事标题 / 瞬间名的组装 / 时长和日期的组装 / 回看页（拍完看这一段） 等 5 处,
seconds,\(value) 秒,\(value)s,YES,Models,ModelDisplayText / 时长和日期的组装,
unitName,个瞬间,moment,,Models,故事标题 / 瞬间名的组装,
unitNamePlural,个瞬间,moments,,Models,故事标题 / 瞬间名的组装,
momentWord,个瞬间,moment,,Models,间接引用（拼在别的文案里）,"The word ""moment"", agreeing with a count. English needs this and Chinese doesn't, which is exactly how ""Preview · 1 moments"" got shipped: every caller wrote the"
storyLabel,一日影片,1-day film,,Models,故事标题 / 瞬间名的组装,
fullTitle7Days,7 天\(name),7 Days of \(name),YES,Models,新建故事,
startToday,开始今天,Start today,,Home,间接引用（拼在别的文案里）,
enterInviteCode,输入邀请码,Enter invite code,,Home,输邀请码加入房间 / 首页,
newStory,新建故事,New story,,Home,首页,
headerDateProgress,今天 \(recorded)/\(total),Today \(recorded)/\(total),YES,Home,HomeHeaderSummary,"Home header progress, beside the date: ""今天 1/7""."
couldntJoin,无法加入,Couldn't join,,Home,首页,
leaveRoom,退出房间,Leave room,,Home,首页 / 故事页,
deleteChallenge,删除挑战,Delete challenge,,Home,首页 / 故事页,
deleteStoryTitle,删除《\(name)》？,Delete “\(name)”?,YES,Home,首页 / 故事页,"Deleting a story and leaving a room are one menu item but two very different outcomes, and the difference is exactly what someone needs to know before they tap."
deleteStoryWarning,连 \(clipCount) 段一起删，删完没了。,"The \(clipCount) clip\(clipCount == 1 ? """" : ""s"") you filmed will be deleted too. This can’t be undone.",YES,Home,首页 / 故事页,英文里有单复数判断（1 段 / 2 段），所以这一栏锁住了 —— 想改英文跟我说，我在代码里改。
deleteStoryWarningEmpty,删了就没了。,This story will be deleted from this device. This can’t be undone.,,Timeline,首页 / 故事页,同一句的另一支：一段都没拍的时候显示这句（测试要求它不能出现数字）。
leaveRoomTitle,退出《\(name)》？,Leave “\(name)”?,YES,Home,首页 / 故事页,
leaveRoomWarning,这台设备上就看不到这个房间了。你已经拍的片段还留在房间里，其他人照常能看。,The room disappears from this device. The clips you filmed stay in it — everyone else can still see them.,,Home,首页 / 故事页,
history,历史,HISTORY,,Home,间接引用（拼在别的文案里）,
joining,加入中…,Joining…,,Home,首页,
joinShort,加入,Join,,Home,首页,"On the header pill next to 新建, so the icon isn't the only clue."
haveInviteCode,我有邀请码,I have an invite code,,Home,首页,
firstRunHeadline,把今天，留成一支片,Turn today into one film,,Home,第一次打开的引导页,
firstRunThreeMoments,个两秒瞬间,two-second moments,,Home,第一次打开的引导页,
firstRunOneFilm,支属于你的短片,film that is yours,,Home,第一次打开的引导页,
firstRunEquationAccessibility,三个两秒瞬间，成为一支属于你的短片,Three two-second moments become one film that is yours,,Home,第一次打开的引导页,
firstRunGuide,选一个故事 · 拍 3 个瞬间 · 1Day 为你做成影片,Choose a story · film 3 moments · 1Day makes the film,,Home,第一次打开的引导页,
firstRunStart,开始我的第一支片,Start my first film,,Home,第一次打开的引导页,
firstRunStartHint,创建一支包含三个瞬间的个人短片。,Creates a personal film with three moments.,,Home,第一次打开的引导页,
firstRunJoin,有邀请码？加入朋友,Have an invite? Join friends,,Home,第一次打开的引导页,
firstRunSampleFilmAccessibility,1Day 示例影片预览,1Day sample film preview,,Home,第一次打开的引导页,
firstRunSampleFilmPlay,播放示例影片,Play sample film,,Home,第一次打开的引导页,
firstRunSampleFilmPause,暂停示例影片,Pause sample film,,Home,第一次打开的引导页,
quickStartTitle,我的一天,My day,,Home,出错提示 / 第一次打开的引导页,
inviteHint,向朋友要 6 位邀请码。,Ask your friend for the 6-character code.,,Home,输邀请码加入房间,
inviteCodeFormatHint,可以直接粘贴整段邀请文字。,Paste the whole invite if you have it.,,Home,输邀请码加入房间,
joinRoomButton,加入房间,Join room,,Home,输邀请码加入房间,"Not ""today's room"": a room can be a seven-day story, and the button said otherwise on every one of them."
oneDayProgress,\(recorded)/\(total) 个瞬间 · 每段 \(secondsLabel) · 24 小时影片,\(recorded)/\(total) \(secondsLabel) \(momentWord(total)) · 24-hour film,YES,Home,间接引用（拼在别的文案里）,
titlePrompt,我的一日故事…,My 1-day story...,,New challenge,新建故事 · 海报和设置,
modeOneDay,一日,1-Day,,New challenge,新建故事 · 海报和设置,
modeSevenDay,七日,7-Day,,New challenge,新建故事 · 海报和设置,
clipLengthHeader,片段时长,CLIP LENGTH,,New challenge,间接引用（拼在别的文案里）,
deleteTemplate,删除模板,Delete template,,New challenge,新建故事 · 海报和设置 / 新建故事 · 题目卡片,
editTemplate,编辑模板,Edit template,,New challenge,自己建题目模板 / 新建故事 · 海报和设置 / 新建故事 · 题目卡片,
buildYourOwn,自己搭一个,Build your own,,New challenge,自己建题目模板,
withFriends,和朋友一起,With friends,,New challenge,新建故事 · 海报和设置,
createRoom,创建房间,Create room,,New challenge,新建故事,
promptN,第 \(number) 个拍摄标题,Capture title \(number),YES,New challenge,自己建题目模板 / 新建故事 · 海报和设置 / 故事页 · 顶部,
friend,朋友,Friend,,Board,间接引用（拼在别的文案里）,
shareMessageCaptured,我刚在 1Day 为「\(title)」拍下了\(first)。快来加入我的挑战！邀请码：\(code)\noneday://join?code=\(code),I just captured \(first) for “\(title)” on 1Day. Join my challenge! Code: \(code)\noneday://join?code=\(code),YES,Board,故事页,
shareMessageInvite,来 1Day 加入我的「\(title)」挑战！邀请码：\(code)\noneday://join?code=\(code),Join my “\(title)” challenge on 1Day! Code: \(code)\noneday://join?code=\(code),YES,Board,故事页,
recordedProgress,\(total) \(unitPlural)中已录 \(recorded) 段（\(secondsLabel)）,\(recorded) of \(total) \(secondsLabel) \(unitPlural) recorded,YES,Board,间接引用（拼在别的文案里）,
momentCount,24 小时，\(total) 个瞬间,\(total) \(momentWord(total)) in 24 hours,YES,Board,间接引用（拼在别的文案里）,
record,拍摄,Record,,Board,间接引用（拼在别的文案里）,
lockedSlot,第 \(day) 个瞬间,Moment \(day),YES,Board,故事页 / 故事页 · 九宫格,
retake,重拍,Retake,,Record,拍摄页,
useClip,使用这段,Use clip,,Record,拍摄页,
surfacePlans,计划,Plans,,Record,底部标签栏（计划 / 拍摄）,
surfaceCamera,拍摄,Camera,,Record,底部标签栏（计划 / 拍摄）,
